Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)
Color,0,135,1665706605141.103,4960.631
Color,0,136,1665706605174.494,4981.274
Color,0,137,1665706605207.889,5009.104
Color,0,138,1665706605241.287,5053.805
Color,0,139,1665706605274.690,5077.063
Color,0,140,1665706605308.096,5110.350
Color,0,141,1665706605341.506,5143.782
Color,0,142,1665706605374.920,5178.521
Color,0,143,1665706605408.338,5214.275
Color,0,144,1665706605441.760,5247.492
Color,0,145,1665706605475.185,5280.972
Color,0,146,1665706605508.614,5314.435
Color,0,147,1665706605542.047,5347.815
Color,0,148,1665706605575.483,5380.865
Color,0,149,1665706605608.924,5414.472
Color,0,150,1665706605642.368,5447.888
Color,0,151,1665706605675.816,5481.140
Color,0,152,1665706605709.268,5514.482
Color,0,153,1665706605742.724,5548.538
Color,0,154,1665706605776.183,5581.244
Color,0,155,1665706605809.646,5614.537
Color,0,156,1665706605843.106,5648.079
Color,0,157,1665706605876.629,5681.166
Color,0,158,1665706605910.158,5714.697
Color,0,159,1665706605943.694,5747.890
Color,0,160,1665706605977.237,5781.418
Color,0,161,1665706606010.786,5814.751
Color,0,162,1665706606044.342,5848.254
Color,0,163,1665706606077.904,5881.365
Color,0,164,1665706606111.473,5907.631
Color,0,165,1665706606145.049,5941.798
Color,0,166,1665706606178.631,5978.295
Color,0,167,1665706606212.219,6012.905
Color,0,168,1665706606245.815,6043.291
Color,0,169,1665706606279.417,6074.756
Color,0,170,1665706606313.025,6107.965
Color,0,171,1665706606346.640,6143.282
Color,0,172,1665706606380.262,6184.479
Color,0,173,1665706606413.890,6217.841
Color,0,174,1665706606447.525,6253.889
Color,0,175,1665706606481.167,6288.065
Color,0,176,1665706606514.815,6312.608
Color,0,177,1665706606548.470,6347.378
Color,0,178,1665706606582.131,6385.814
Color,0,179,1665706606615.799,6419.376
Color,0,180,1665706606649.473,6452.768
Color,0,181,1665706606683.154,6485.974
Color,0,182,1665706606716.842,6515.545
Color,0,183,1665706606750.536,6548.829
Color,0,184,1665706606784.237,6582.297
Color,0,185,1665706606817.945,6618.250
Color,0,186,1665706606851.648,6651.713
Color,0,187,1665706606885.157,6685.077
Color,0,188,1665706606918.672,6719.212
Color,0,189,1665706606952.191,6751.851
Color,0,190,1665706606985.716,6785.172
Color,0,191,1665706607019.244,6818.417
Color,0,192,1665706607052.778,6851.839
Color,0,193,1665706607086.316,6885.240
Color,0,194,1665706607119.859,6918.617
Color,0,195,1665706607153.407,6951.973
Color,0,196,1665706607186.960,6985.316
Color,0,197,1665706607220.517,7013.435
Color,0,198,1665706607254.080,7042.419
Color,0,199,1665706607287.646,7076.050
Color,0,200,1665706607321.218,7109.775
Color,0,201,1665706607354.794,7150.455
Color,0,202,1665706607388.376,7194.434
Color,0,203,1665706607421.962,7219.324
Color,0,204,1665706607455.552,7247.203
Color,0,205,1665706607489.148,7280.673
Color,0,206,1665706607522.748,7315.721
Color,0,207,1665706607556.353,7351.393
Color,0,208,1665706607589.962,7384.921
Color,0,209,1665706607623.577,7418.368
Color,0,210,1665706607657.196,7451.614
Color,0,211,1665706607690.820,7485.040
Color,0,212,1665706607724.449,7518.395
Color,0,213,1665706607758.082,7551.634
Color,0,214,1665706607791.720,7585.503
Color,0,215,1665706607825.364,7619.242
Color,0,216,1665706607859.004,7651.723
Color,0,217,1665706607892.359,7685.199
Color,0,218,1665706607925.715,7718.869
Color,0,219,1665706607959.071,7751.821
Color,0,220,1665706607992.427,7785.276
Color,0,221,1665706608025.783,7818.959
Color,0,222,1665706608059.140,7851.854
Color,0,223,1665706608092.497,7885.315
Color,0,224,1665706608125.853,7925.981
Color,0,225,1665706608159.210,7948.985
Color,0,226,1665706608192.567,7979.231
Color,0,227,1665706608225.925,8009.080
Color,0,228,1665706608259.282,8042.665
